"","variable","per_inc_mse","IncNodePurity"
"1","tn",0.273504124387389,79.8102216419425
"2","subregions",0.125452851782545,50.6498132321102
"3","tp",0.106201181277435,30.6399951372479
"4","secchi",0.102856295689779,39.5038443971073
"5","state",0.0899585001037045,35.9504085506473
"6","din",0.0544332940736554,17.6296073508493
"7","dip",0.0532207151757594,15.4714092020175
"8","latitude",0.0474556412402876,17.3441318657982
"9","region",0.0400097939309458,10.873072308042
"10","longitude",0.038972712666302,14.9330716164247
"11","din_dip",0.0270457052503367,12.8199968417318
